City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,68,75,10.36,broken clouds
278,San Patricio,US,28.017,-97.5169,67.86,51,100,17.56,overcast clouds
279,Barrow,US,71.2906,-156.7887,23.02,80,90,18.41,overcast clouds
280,Kasongo-Lunda,CD,-6.4667,16.8167,69.62,98,83,0.92,light rain
281,Emba,KZ,48.8264,58.1442,30.72,98,100,2.46,light snow
282,Dharur,IN,18.8167,76.1167,63.25,65,5,5.57,clear sky
283,Kruisfontein,ZA,-34.0033,24.7314,59.88,96,61,4.03,broken clouds
284,Baruun-Urt,MN,46.6806,113.2792,18.77,53,32,10.89,scattered clouds
285,Buraydah,SA,26.326,43.975,54.05,39,73,7.96,broken clouds
286,Baoying,CN,33.2292,119.3092,43.38,80,17,6.96,few clouds
287,Padang,ID,-0.9492,100.3543,75.25,78,94,3.47,overcast clouds
288,Chernyshevskiy,RU,63.0128,112.4714,-27.89,96,27,2.77,scattered clouds
289,Tumaco,CO,1.7986,-78.8156,75.78,86,86,6.38,overcast clouds
290,Srednekolymsk,RU,67.45,153.6833,-30.03,95,98,2.37,overcast clouds
291,Moron,AR,-34.6534,-58.6198,71.96,83,0,7.0,clear sky
292,Nuuk,GL,64.1835,-51.7216,21.81,58,75,12.66,light shower snow
293,Dalbandin,PK,28.8947,64.4101,51.49,25,0,4.0,clear sky
294,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,6.91,few clouds
295,Monteagudo,BO,-19.8167,-63.9833,65.68,84,94,1.81,overcast clouds
296,Souillac,MU,-20.5167,57.5167,78.37,78,20,6.91,few clouds
297,Dingle,PH,10.9995,122.6711,77.22,83,97,7.16,overcast clouds
298,Sarai,RU,53.7458,41.0213,28.63,77,100,14.56,overcast clouds
299,Boguchany,RU,58.3814,97.4531,28.04,97,100,4.25,light snow
300,Meadow Lake,US,34.8014,-106.5436,52.48,34,13,12.26,few clouds
301,Xiaoweizhai,CN,26.1903,107.5125,46.24,93,29,2.01,scattered clouds
302,Livingstonia,MW,-10.606,34.1063,66.65,72,54,2.04,broken clouds
303,Punto Fijo,VE,11.6956,-70.1996,79.95,80,47,26.22,scattered clouds
304,Yar-Sale,RU,66.8333,70.8333,6.12,92,98,7.25,overcast clouds
305,Sovetskaya Gavan,RU,48.9723,140.2878,18.93,71,1,9.19,clear sky
306,Nawabganj,BD,24.5911,88.271,65.68,94,0,3.65,clear sky
307,Monroe,US,43.1501,-77.6831,37.78,67,75,23.02,broken clouds
308,Forio,IT,40.7342,13.8646,49.82,63,62,8.05,broken clouds
309,Noumea,NC,-22.2763,166.4572,89.58,99,1,9.78,clear sky
310,Hasaki,JP,35.7333,140.8333,55.8,78,93,17.52,overcast clouds
311,Fukue,JP,32.6881,128.8419,57.56,67,20,8.05,few clouds
312,Cherskiy,RU,68.75,161.3,-24.34,97,100,4.21,overcast clouds
313,Platanos,GR,37.6667,21.6167,54.09,89,100,4.43,overcast clouds
314,Yenagoa,NG,4.9247,6.2642,77.27,90,100,4.03,overcast clouds
315,Tigil,RU,57.8,158.6667,25.52,95,100,12.3,snow
316,Valcourt,CA,45.5001,-72.3158,45.41,93,100,20.38,light rain
317,Wewak,PG,-3.5534,143.6268,81.59,83,100,2.8,moderate rain
318,Labuhan,ID,-6.8844,112.2051,79.41,83,100,4.99,overcast clouds
319,Riyadh,SA,24.6877,46.7219,57.34,34,23,8.19,few clouds
320,Hobyo,SO,5.3505,48.5268,78.17,73,21,13.51,few clouds
321,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,93,90,23.02,snow
322,Clarence Town,AU,-32.5833,151.7833,79.14,57,99,2.51,overcast clouds
